Org	Gene	ID	TimePoint	Average	SD	Rep1	Rep2	Rep3	SwissProt
He	OQV25556.1	Dev	E5	20.755	4.409	24.606	21.713	15.947	SAHS2_HYPDU
He	OWA51789.1	PB	act	0.273	0.287	0.000	0.248	0.572	SAHS1_RAMVA
He	OWA51789.1	PB	tun	14.269	7.522	22.927	10.547	9.333	SAHS1_RAMVA
He	OWA51789.1	Dev	B1	4.540	4.097	1.081	3.473	9.065	SAHS1_RAMVA
He	OWA51789.1	Dev	B2	3.153	0.611	3.256	2.497	3.706	SAHS1_RAMVA
He	OWA51789.1	Dev	B3	0.295	0.281	0.326	0.559	0.000	SAHS1_RAMVA
He	OWA51789.1	Dev	B4	0.516	0.470	0.627	0.920	0.000	SAHS1_RAMVA
He	OWA51789.1	Dev	B5	0.236	0.219	0.000	0.274	0.432	SAHS1_RAMVA
He	OWA51789.1	Dev	B6	0.197	0.175	0.000	0.335	0.256	SAHS1_RAMVA
He	OWA51789.1	Dev	B7	0.286	0.270	0.536	0.322	0.000	SAHS1_RAMVA
He	OWA51789.1	Dev	E1	2805.063	2552.743	1458.030	5749.180	1207.980	SAHS1_RAMVA
He	OWA51789.1	Dev	E2	6621.103	780.274	6592.470	7415.300	5855.540	SAHS1_RAMVA
He	OWA51789.1	Dev	E3	27.256	26.508	17.009	57.359	7.402	SAHS1_RAMVA
He	OWA51789.1	Dev	E4	3.488	1.526	5.203	2.279	2.981	SAHS1_RAMVA
He	OWA51789.1	Dev	E5	285.369	204.854	501.414	93.929	260.764	SAHS1_RAMVA
He	OWA51790.1	PB	act	11.466	8.091	9.345	4.647	20.406	SAHS1_RAMVA
He	OWA51790.1	PB	tun	7.098	2.302	7.556	9.138	4.602	SAHS1_RAMVA
He	OWA51790.1	Dev	B1	139.693	40.718	94.827	174.302	149.949	SAHS1_RAMVA
He	OWA51790.1	Dev	B2	290.344	27.534	288.905	318.569	263.558	SAHS1_RAMVA
He	OWA51790.1	Dev	B3	103.704	12.856	89.070	113.177	108.866	SAHS1_RAMVA
He	OWA51790.1	Dev	B4	35.075	15.034	17.992	40.942	46.291	SAHS1_RAMVA
He	OWA51790.1	Dev	B5	135.980	9.931	127.364	146.842	133.735	SAHS1_RAMVA
He	OWA51790.1	Dev	B6	176.810	19.770	165.071	165.724	199.635	SAHS1_RAMVA
He	OWA51790.1	Dev	B7	121.418	79.859	169.885	29.247	165.123	SAHS1_RAMVA
He	OWA51790.1	Dev	E1	0.947	1.470	0.000	2.641	0.200	SAHS1_RAMVA
He	OWA51790.1	Dev	E2	0.000	0.000	0.000	0.000	0.000	SAHS1_RAMVA
He	OWA51790.1	Dev	E3	5.060	2.834	2.284	4.945	7.949	SAHS1_RAMVA
He	OWA51790.1	Dev	E4	19.622	2.328	16.939	20.814	21.112	SAHS1_RAMVA
He	OWA51790.1	Dev	E5	35.005	3.677	38.611	35.141	31.262	SAHS1_RAMVA
He	OWA51791.1	PB	act	205.236	69.827	202.988	136.560	276.160	SAHS1_RAMVA
He	OWA51791.1	PB	tun	149.031	14.632	146.350	164.818	135.925	SAHS1_RAMVA
He	OWA51791.1	Dev	B1	1753.307	614.402	1137.920	2366.720	1755.280	SAHS1_RAMVA
He	OWA51791.1	Dev	B2	3922.537	409.349	3896.860	4344.120	3526.630	SAHS1_RAMVA
He	OWA51791.1	Dev	B3	1243.473	209.224	1004.330	1333.340	1392.750	SAHS1_RAMVA
He	OWA51791.1	Dev	B4	496.121	177.386	316.009	501.704	670.649	SAHS1_RAMVA
He	OWA51791.1	Dev	B5	1447.873	274.443	1561.650	1647.130	1134.840	SAHS1_RAMVA
He	OWA51791.1	Dev	B6	3206.777	236.750	2934.210	3361.260	3324.860	SAHS1_RAMVA
He	OWA51791.1	Dev	B7	2207.587	1394.304	3058.710	598.482	2965.570	SAHS1_RAMVA
He	OWA51791.1	Dev	E1	2.934	5.082	0.000	8.802	0.000	SAHS1_RAMVA
He	OWA51791.1	Dev	E2	0.684	0.702	0.650	0.000	1.403	SAHS1_RAMVA
He	OWA51791.1	Dev	E3	52.898	23.566	37.465	41.206	80.024	SAHS1_RAMVA
He	OWA51791.1	Dev	E4	89.707	33.310	122.561	90.603	55.958	SAHS1_RAMVA
He	OWA51791.1	Dev	E5	203.174	43.789	169.514	187.328	252.680	SAHS1_RAMVA
He	OWA51792.1	PB	act	2853.557	602.640	3134.440	2161.750	3264.480	SAHS1_HYPDU
He	OWA51792.1	PB	tun	1584.247	93.348	1527.390	1691.980	1533.370	SAHS1_HYPDU
He	OWA51792.1	Dev	B1	2988.780	452.244	2478.900	3146.040	3341.400	SAHS1_HYPDU
He	OWA51792.1	Dev	B2	6638.270	861.272	5984.360	7614.140	6316.310	SAHS1_HYPDU
He	OWA51792.1	Dev	B3	3736.460	852.951	2893.390	4598.960	3717.030	SAHS1_HYPDU
He	OWA51792.1	Dev	B4	8656.403	881.982	7638.160	9182.190	9148.860	SAHS1_HYPDU
He	OWA51792.1	Dev	B5	3258.957	653.682	3942.330	3194.850	2639.690	SAHS1_HYPDU
He	OWA51792.1	Dev	B6	6086.197	490.821	5522.300	6318.940	6417.350	SAHS1_HYPDU
He	OWA51792.1	Dev	B7	5233.853	2494.644	6846.850	2360.490	6494.220	SAHS1_HYPDU
He	OWA51792.1	Dev	E1	13.210	3.203	13.421	9.906	16.303	SAHS1_HYPDU
He	OWA51792.1	Dev	E2	11.951	5.315	6.972	17.547	11.334	SAHS1_HYPDU
He	OWA51792.1	Dev	E3	3674.293	344.784	3370.040	3604.050	4048.790	SAHS1_HYPDU
He	OWA51792.1	Dev	E4	3431.790	727.914	2985.890	4271.780	3037.700	SAHS1_HYPDU
He	OWA51792.1	Dev	E5	1407.540	95.065	1449.960	1298.650	1474.010	SAHS1_HYPDU
He	OWA51793.1	PB	act	8918.283	2477.213	11664.000	6850.900	8239.950	SAHS2_HYPDU
He	OWA51793.1	PB	tun	2652.077	200.960	2767.350	2768.850	2420.030	SAHS2_HYPDU
He	OWA51793.1	Dev	B1	2356.293	550.236	1961.880	2984.880	2122.120	SAHS2_HYPDU
He	OWA51793.1	Dev	B2	3708.333	309.818	4036.170	3668.430	3420.400	SAHS2_HYPDU
He	OWA51793.1	Dev	B3	2227.197	223.405	2115.280	2484.440	2081.870	SAHS2_HYPDU
He	OWA51793.1	Dev	B4	4292.670	507.811	4878.510	3978.170	4021.330	SAHS2_HYPDU
He	OWA51793.1	Dev	B5	3180.990	666.783	3703.220	3409.830	2429.920	SAHS2_HYPDU
He	OWA51793.1	Dev	B6	6768.977	717.397	6221.910	6503.810	7581.210	SAHS2_HYPDU
He	OWA51793.1	Dev	B7	10346.783	1080.930	11140.700	9115.750	10783.900	SAHS2_HYPDU
He	OWA51793.1	Dev	E1	5.576	3.040	3.805	9.086	3.838	SAHS2_HYPDU
He	OWA51793.1	Dev	E2	3.092	0.744	2.233	3.488	3.555	SAHS2_HYPDU
He	OWA51793.1	Dev	E3	281.644	31.789	313.262	281.984	249.687	SAHS2_HYPDU
He	OWA51793.1	Dev	E4	780.056	297.130	583.293	1121.850	635.025	SAHS2_HYPDU
He	OWA51793.1	Dev	E5	1032.881	158.338	1206.850	897.194	994.600	SAHS2_HYPDU
He	OWA51795.1	PB	act	103.531	58.147	118.778	39.279	152.535	SAHS4_HYPDU
He	OWA51795.1	PB	tun	137.098	23.287	139.723	112.609	158.961	SAHS4_HYPDU
He	OWA51795.1	Dev	B1	1578.796	593.118	1583.830	983.177	2169.380	SAHS4_HYPDU
He	OWA51795.1	Dev	B2	1903.270	243.321	2150.130	1896.030	1663.650	SAHS4_HYPDU
He	OWA51795.1	Dev	B3	713.233	90.693	673.224	817.051	649.425	SAHS4_HYPDU
He	OWA51795.1	Dev	B4	199.400	26.446	227.974	194.443	175.783	SAHS4_HYPDU
He	OWA51795.1	Dev	B5	599.942	102.685	699.091	494.053	606.681	SAHS4_HYPDU
He	OWA51795.1	Dev	B6	470.654	55.987	407.176	512.997	491.790	SAHS4_HYPDU
He	OWA51795.1	Dev	B7	464.980	323.029	714.181	100.022	580.737	SAHS4_HYPDU
He	OWA51795.1	Dev	E1	5.027	3.336	2.614	8.834	3.633	SAHS4_HYPDU
He	OWA51795.1	Dev	E2	2.894	4.428	0.690	0.000	7.991	SAHS4_HYPDU
He	OWA51795.1	Dev	E3	91.028	10.382	103.015	84.944	85.124	SAHS4_HYPDU
He	OWA51795.1	Dev	E4	391.870	35.192	355.294	425.492	394.823	SAHS4_HYPDU
He	OWA51795.1	Dev	E5	858.128	111.326	980.821	763.565	829.998	SAHS4_HYPDU
He	OWA51796.1	PB	act	21.515	10.245	30.135	10.189	24.221	SAHS4_HYPDU
He	OWA51796.1	PB	tun	34.644	2.554	35.138	36.915	31.879	SAHS4_HYPDU
He	OWA51796.1	Dev	B1	427.401	159.230	436.564	263.787	581.851	SAHS4_HYPDU
He	OWA51796.1	Dev	B2	523.923	49.627	570.465	529.603	471.700	SAHS4_HYPDU
He	OWA51796.1	Dev	B3	192.650	21.782	188.036	216.369	173.544	SAHS4_HYPDU
He	OWA51796.1	Dev	B4	54.944	5.486	56.258	59.654	48.921	SAHS4_HYPDU
He	OWA51796.1	Dev	B5	144.688	16.329	161.239	144.235	128.590	SAHS4_HYPDU
He	OWA51796.1	Dev	B6	140.987	6.420	134.599	140.925	147.438	SAHS4_HYPDU
He	OWA51796.1	Dev	B7	115.984	90.000	193.350	17.210	137.392	SAHS4_HYPDU
He	OWA51796.1	Dev	E1	0.850	1.021	0.371	2.023	0.157	SAHS4_HYPDU
He	OWA51796.1	Dev	E2	0.584	0.357	0.681	0.188	0.882	SAHS4_HYPDU
He	OWA51796.1	Dev	E3	23.087	6.950	31.111	18.950	19.200	SAHS4_HYPDU
He	OWA51796.1	Dev	E4	116.207	7.734	108.476	116.202	123.943	SAHS4_HYPDU
He	OWA51796.1	Dev	E5	245.474	50.793	299.911	199.350	237.162	SAHS4_HYPDU
He	OWA51797.1	PB	act	4330.317	1204.711	5719.360	3570.630	3700.960	SAHS1_HYPDU
He	OWA51797.1	PB	tun	13262.300	1106.776	13043.600	14462.100	12281.200	SAHS1_HYPDU
He	OWA51797.1	Dev	B1	5085.720	2407.530	7803.850	4231.660	3221.650	SAHS1_HYPDU
He	OWA51797.1	Dev	B2	1827.827	474.049	2291.680	1847.600	1344.200	SAHS1_HYPDU
He	OWA51797.1	Dev	B3	10232.873	1327.071	10347.700	11498.800	8852.120	SAHS1_HYPDU
He	OWA51797.1	Dev	B4	18371.733	3271.222	22117.700	16919.100	16078.400	SAHS1_HYPDU
He	OWA51797.1	Dev	B5	3501.357	870.517	4489.420	3167.320	2847.330	SAHS1_HYPDU
He	OWA51797.1	Dev	B6	12824.733	1526.454	13089.000	11183.400	14201.800	SAHS1_HYPDU
He	OWA51797.1	Dev	B7	10938.883	5767.404	15423.400	4432.850	12960.400	SAHS1_HYPDU
He	OWA51797.1	Dev	E1	3.800	2.373	2.203	2.671	6.527	SAHS1_HYPDU
He	OWA51797.1	Dev	E2	4.358	2.943	2.699	7.756	2.619	SAHS1_HYPDU
He	OWA51797.1	Dev	E3	886.516	131.730	1016.360	890.211	752.977	SAHS1_HYPDU
He	OWA51797.1	Dev	E4	1195.726	483.663	925.811	1754.110	907.258	SAHS1_HYPDU
He	OWA51797.1	Dev	E5	172.326	58.811	129.413	148.203	239.363	SAHS1_HYPDU
He	OWA51798.1	PB	act	4527.990	1141.057	5734.430	3466.090	4383.450	SAHS3_HYPDU
He	OWA51798.1	PB	tun	2785.957	113.423	2788.320	2898.180	2671.370	SAHS3_HYPDU
He	OWA51798.1	Dev	B1	1731.028	694.372	2005.270	941.415	2246.400	SAHS3_HYPDU
He	OWA51798.1	Dev	B2	1569.750	63.519	1621.270	1589.200	1498.780	SAHS3_HYPDU
He	OWA51798.1	Dev	B3	5365.240	1686.260	4997.210	7205.120	3893.390	SAHS3_HYPDU
He	OWA51798.1	Dev	B4	8479.370	604.690	7848.340	9053.730	8536.040	SAHS3_HYPDU
He	OWA51798.1	Dev	B5	1177.703	397.740	1605.330	818.808	1108.970	SAHS3_HYPDU
He	OWA51798.1	Dev	B6	2068.867	88.235	2034.680	2002.840	2169.080	SAHS3_HYPDU
He	OWA51798.1	Dev	B7	2506.527	385.451	2941.300	2206.670	2371.610	SAHS3_HYPDU
He	OWA51798.1	Dev	E1	6.406	6.819	0.853	4.347	14.018	SAHS3_HYPDU
He	OWA51798.1	Dev	E2	26.969	25.464	5.647	55.163	20.096	SAHS3_HYPDU
He	OWA51798.1	Dev	E3	9440.860	1582.744	7913.610	9335.170	11073.800	SAHS3_HYPDU
He	OWA51798.1	Dev	E4	4246.617	1210.053	3437.520	5637.700	3664.630	SAHS3_HYPDU
He	OWA51798.1	Dev	E5	992.883	106.696	1007.760	879.530	1091.360	SAHS3_HYPDU
Rv	g1122.t1	PB	act	236.533	23.192	255.290	243.707	210.601	SAHS1_RAMVA
Rv	g1122.t1	PB	tun	616.691	110.710	698.017	661.445	490.610	SAHS1_RAMVA
Rv	g1122.t1	Dev	B1	829.657	80.537	861.897	737.995	889.079	SAHS1_RAMVA
Rv	g1122.t1	Dev	B2	670.531	23.783	696.415	665.535	649.643	SAHS1_RAMVA
Rv	g1122.t1	Dev	B3	226.201	12.874	240.883	220.873	216.846	SAHS1_RAMVA
Rv	g1122.t1	Dev	B4	306.293	43.581	341.093	320.374	257.413	SAHS1_RAMVA
Rv	g1122.t1	Dev	B5	941.234	140.742	787.306	1063.340	973.057	SAHS1_RAMVA
Rv	g1122.t1	Dev	B6	546.728	435.900	1030.070	183.425	426.688	SAHS1_RAMVA
Rv	g1122.t1	Dev	B7	166.104	22.969	164.313	144.083	189.916	SAHS1_RAMVA
Rv	g1122.t1	Dev	E1	95.455	21.032	71.267	105.662	109.436	SAHS1_RAMVA
Rv	g1122.t1	Dev	E2	1188.433	74.791	1129.930	1272.700	1162.670	SAHS1_RAMVA
Rv	g1122.t1	Dev	E3	10.357	1.167	11.344	9.069	10.657	SAHS1_RAMVA
Rv	g1122.t1	Dev	E4	307.322	65.732	251.957	379.968	290.042	SAHS1_RAMVA
Rv	g1122.t1	Dev	E5	4840.857	1178.783	3715.190	4740.980	6066.400	SAHS1_RAMVA
Rv	g1624.t1	PB	act	302.701	22.107	284.968	327.470	295.665	SAHS1_RAMVA
Rv	g1624.t1	PB	tun	407.613	49.441	428.929	351.089	442.820	SAHS1_RAMVA
Rv	g1624.t1	Dev	B1	742.742	59.102	674.801	782.282	771.143	SAHS1_RAMVA
Rv	g1624.t1	Dev	B2	646.525	15.318	660.397	649.092	630.086	SAHS1_RAMVA
Rv	g1624.t1	Dev	B3	580.549	30.465	610.704	581.158	549.784	SAHS1_RAMVA
Rv	g1624.t1	Dev	B4	711.300	58.752	650.753	715.073	768.075	SAHS1_RAMVA
Rv	g1624.t1	Dev	B5	432.344	64.166	402.057	506.047	388.927	SAHS1_RAMVA
Rv	g1624.t1	Dev	B6	560.321	84.468	518.327	505.079	657.556	SAHS1_RAMVA
Rv	g1624.t1	Dev	B7	609.728	180.793	758.621	408.556	662.007	SAHS1_RAMVA
Rv	g1624.t1	Dev	E1	43.967	13.917	28.411	48.251	55.238	SAHS1_RAMVA
Rv	g1624.t1	Dev	E2	317.998	59.205	368.108	333.217	252.669	SAHS1_RAMVA
Rv	g1624.t1	Dev	E3	16.393	3.441	12.839	16.632	19.708	SAHS1_RAMVA
Rv	g1624.t1	Dev	E4	304.874	19.490	284.545	306.676	323.400	SAHS1_RAMVA
Rv	g1624.t1	Dev	E5	751.627	176.902	936.313	734.864	583.703	SAHS1_RAMVA
Rv	g1668.t1	PB	act	4.036	1.742	3.385	6.010	2.713	SAHS1_RAMVA
Rv	g1668.t1	PB	tun	5.905	4.901	1.972	4.348	11.396	SAHS1_RAMVA
Rv	g1668.t1	Dev	B1	39.286	51.821	5.454	98.945	13.459	SAHS1_RAMVA
Rv	g1668.t1	Dev	B2	1.113	0.355	1.082	1.483	0.774	SAHS1_RAMVA
Rv	g1668.t1	Dev	B3	4.740	3.443	8.624	2.063	3.532	SAHS1_RAMVA
Rv	g1668.t1	Dev	B4	5.682	1.117	4.453	6.636	5.957	SAHS1_RAMVA
Rv	g1668.t1	Dev	B5	1.506	1.369	0.000	2.676	1.841	SAHS1_RAMVA
Rv	g1668.t1	Dev	B6	1.837	0.552	1.209	2.248	2.053	SAHS1_RAMVA
Rv	g1668.t1	Dev	B7	1.169	1.348	0.864	0.000	2.644	SAHS1_RAMVA
Rv	g1668.t1	Dev	E1	22202.933	5214.652	19568.800	28209.200	18830.800	SAHS1_RAMVA
Rv	g1668.t1	Dev	E2	19245.800	3583.579	16836.900	17536.500	23364.000	SAHS1_RAMVA
Rv	g1668.t1	Dev	E3	49272.000	7049.777	44382.200	57353.100	46080.700	SAHS1_RAMVA
Rv	g1668.t1	Dev	E4	4987.143	812.478	5758.930	5063.180	4139.320	SAHS1_RAMVA
Rv	g1668.t1	Dev	E5	1490.190	595.160	1498.170	2081.320	891.080	SAHS1_RAMVA
Rv	g1669.t1	PB	act	4795.223	330.678	5134.420	4777.470	4473.780	SAHS1_RAMVA
Rv	g1669.t1	PB	tun	8674.503	951.133	9249.130	9197.750	7576.630	SAHS1_RAMVA
Rv	g1669.t1	Dev	B1	7683.763	2114.991	6545.770	10124.100	6381.420	SAHS1_RAMVA
Rv	g1669.t1	Dev	B2	6865.717	303.174	6517.480	7008.800	7070.870	SAHS1_RAMVA
Rv	g1669.t1	Dev	B3	9359.537	1167.822	10633.200	9106.300	8339.110	SAHS1_RAMVA
Rv	g1669.t1	Dev	B4	4978.470	999.937	3871.140	5248.870	5815.400	SAHS1_RAMVA
Rv	g1669.t1	Dev	B5	2908.573	587.983	2246.700	3370.530	3108.490	SAHS1_RAMVA
Rv	g1669.t1	Dev	B6	6295.010	3958.608	10463.600	2586.610	5834.820	SAHS1_RAMVA
Rv	g1669.t1	Dev	B7	3417.440	1898.891	4513.510	1224.790	4514.020	SAHS1_RAMVA
Rv	g1669.t1	Dev	E1	67.177	1.490	66.821	68.812	65.897	SAHS1_RAMVA
Rv	g1669.t1	Dev	E2	683.340	60.028	689.234	740.204	620.583	SAHS1_RAMVA
Rv	g1669.t1	Dev	E3	68.423	21.349	60.547	92.591	52.129	SAHS1_RAMVA
Rv	g1669.t1	Dev	E4	339.344	12.707	327.472	337.812	352.747	SAHS1_RAMVA
Rv	g1669.t1	Dev	E5	1462.188	464.714	1727.570	925.593	1733.400	SAHS1_RAMVA
Rv	g1671.t1	PB	act	12521.733	900.592	13530.200	12237.300	11797.700	SAHS1_RAMVA
Rv	g1671.t1	PB	tun	14451.467	1716.174	16408.400	13743.300	13202.700	SAHS1_RAMVA
Rv	g1671.t1	Dev	B1	14901.533	1906.667	13929.800	17098.300	13676.500	SAHS1_RAMVA
Rv	g1671.t1	Dev	B2	15667.700	229.917	15439.400	15899.200	15664.500	SAHS1_RAMVA
Rv	g1671.t1	Dev	B3	19190.100	981.865	20182.200	18218.800	19169.300	SAHS1_RAMVA
Rv	g1671.t1	Dev	B4	16126.000	1016.316	15211.900	15945.700	17220.400	SAHS1_RAMVA
Rv	g1671.t1	Dev	B5	9606.230	2351.485	7247.890	11950.800	9620.000	SAHS1_RAMVA
Rv	g1671.t1	Dev	B6	16213.203	7138.217	23369.900	9093.610	16176.100	SAHS1_RAMVA
Rv	g1671.t1	Dev	B7	13010.620	5595.966	16452.600	6553.660	16025.600	SAHS1_RAMVA
Rv	g1671.t1	Dev	E1	2057.487	375.224	1664.200	2096.690	2411.570	SAHS1_RAMVA
Rv	g1671.t1	Dev	E2	25363.433	920.794	24882.700	26425.100	24782.500	SAHS1_RAMVA
Rv	g1671.t1	Dev	E3	1306.950	147.859	1272.880	1468.870	1179.100	SAHS1_RAMVA
Rv	g1671.t1	Dev	E4	11438.047	1579.966	9750.140	12881.600	11682.400	SAHS1_RAMVA
Rv	g1671.t1	Dev	E5	57090.600	14755.833	74120.100	48094.500	49057.200	SAHS1_RAMVA
Rv	g1672.t1	PB	act	376.579	28.077	359.697	361.050	408.990	SAHS2_RAMVA
Rv	g1672.t1	PB	tun	409.572	50.567	388.943	372.581	467.193	SAHS2_RAMVA
Rv	g1672.t1	Dev	B1	109.940	2.216	111.288	107.382	111.150	SAHS2_RAMVA
Rv	g1672.t1	Dev	B2	319.290	42.022	280.977	312.661	364.233	SAHS2_RAMVA
Rv	g1672.t1	Dev	B3	411.312	7.099	406.144	419.407	408.385	SAHS2_RAMVA
Rv	g1672.t1	Dev	B4	308.851	43.017	273.579	296.199	356.776	SAHS2_RAMVA
Rv	g1672.t1	Dev	B5	154.126	32.761	149.103	189.108	124.166	SAHS2_RAMVA
Rv	g1672.t1	Dev	B6	180.997	100.576	295.983	137.615	109.393	SAHS2_RAMVA
Rv	g1672.t1	Dev	B7	211.224	83.038	264.415	115.539	253.717	SAHS2_RAMVA
Rv	g1672.t1	Dev	E1	483.175	98.563	393.306	588.586	467.632	SAHS2_RAMVA
Rv	g1672.t1	Dev	E2	347.742	35.777	310.014	381.182	352.031	SAHS2_RAMVA
Rv	g1672.t1	Dev	E3	338.513	63.862	334.004	404.510	277.025	SAHS2_RAMVA
Rv	g1672.t1	Dev	E4	409.290	30.322	389.449	444.194	394.227	SAHS2_RAMVA
Rv	g1672.t1	Dev	E5	246.295	57.173	226.038	310.839	202.009	SAHS2_RAMVA
Rv	g1675.t1	PB	act	966.659	121.061	864.801	934.675	1100.500	SAHS2_RAMVA
Rv	g1675.t1	PB	tun	2613.253	193.435	2812.970	2600.010	2426.780	SAHS2_RAMVA
Rv	g1675.t1	Dev	B1	4938.197	132.239	5014.480	5014.610	4785.500	SAHS2_RAMVA
Rv	g1675.t1	Dev	B2	2470.233	143.756	2633.480	2414.660	2362.560	SAHS2_RAMVA
Rv	g1675.t1	Dev	B3	1746.950	62.949	1729.650	1816.740	1694.460	SAHS2_RAMVA
Rv	g1675.t1	Dev	B4	1069.317	235.506	823.380	1292.780	1091.790	SAHS2_RAMVA
Rv	g1675.t1	Dev	B5	3232.727	303.827	2920.980	3249.240	3527.960	SAHS2_RAMVA
Rv	g1675.t1	Dev	B6	2997.743	977.878	3637.010	1872.040	3484.180	SAHS2_RAMVA
Rv	g1675.t1	Dev	B7	1725.127	360.802	1831.450	1323.110	2020.820	SAHS2_RAMVA
Rv	g1675.t1	Dev	E1	2370.993	398.270	1912.660	2632.820	2567.500	SAHS2_RAMVA
Rv	g1675.t1	Dev	E2	10104.603	755.024	9605.370	10973.200	9735.240	SAHS2_RAMVA
Rv	g1675.t1	Dev	E3	1549.063	215.307	1555.730	1760.960	1330.500	SAHS2_RAMVA
Rv	g1675.t1	Dev	E4	10941.500	1018.893	9895.900	10997.200	11931.400	SAHS2_RAMVA
Rv	g1675.t1	Dev	E5	16280.067	1230.395	17700.600	15590.700	15548.900	SAHS2_RAMVA
Rv	g1676.t1	PB	act	7409.903	528.149	6880.520	7412.380	7936.810	SAHS2_RAMVA
Rv	g1676.t1	PB	tun	7416.900	731.532	8256.270	7079.270	6915.160	SAHS2_RAMVA
Rv	g1676.t1	Dev	B1	7123.143	1353.745	6348.910	8686.290	6334.230	SAHS2_RAMVA
Rv	g1676.t1	Dev	B2	3211.440	121.795	3149.450	3351.760	3133.110	SAHS2_RAMVA
Rv	g1676.t1	Dev	B3	13620.633	1247.147	14821.800	12332.100	13708.000	SAHS2_RAMVA
Rv	g1676.t1	Dev	B4	15372.433	2063.147	13177.600	15667.600	17272.100	SAHS2_RAMVA
Rv	g1676.t1	Dev	B5	12127.200	576.505	12792.500	11774.800	11814.300	SAHS2_RAMVA
Rv	g1676.t1	Dev	B6	9573.787	2284.462	7643.420	8982.040	12095.900	SAHS2_RAMVA
Rv	g1676.t1	Dev	B7	17462.640	7694.440	22679.400	8625.820	21082.700	SAHS2_RAMVA
Rv	g1676.t1	Dev	E1	772.564	463.911	250.036	1135.990	931.666	SAHS2_RAMVA
Rv	g1676.t1	Dev	E2	4179.473	449.252	3999.660	4690.780	3847.980	SAHS2_RAMVA
Rv	g1676.t1	Dev	E3	47.192	24.007	47.524	71.031	23.021	SAHS2_RAMVA
Rv	g1676.t1	Dev	E4	2124.620	338.348	1790.090	2466.660	2117.110	SAHS2_RAMVA
Rv	g1676.t1	Dev	E5	13990.820	6077.972	7018.060	16786.400	18168.000	SAHS2_RAMVA
Rv	g1677.t1	PB	act	19.837	4.980	15.106	25.033	19.373	SAHS2_RAMVA
Rv	g1677.t1	PB	tun	28.329	1.439	29.922	27.941	27.125	SAHS2_RAMVA
Rv	g1677.t1	Dev	B1	31.386	12.625	19.474	30.064	44.619	SAHS2_RAMVA
Rv	g1677.t1	Dev	B2	15.629	4.662	11.594	14.560	20.733	SAHS2_RAMVA
Rv	g1677.t1	Dev	B3	58.440	6.658	65.781	52.791	56.748	SAHS2_RAMVA
Rv	g1677.t1	Dev	B4	100.225	16.586	112.879	81.447	106.348	SAHS2_RAMVA
Rv	g1677.t1	Dev	B5	43.430	6.787	41.532	50.964	37.794	SAHS2_RAMVA
